epochs,tr_loss,tr_acc,val_loss,val_acc
0,1.8813858509063721,15.0,0.3536059856414795,10.0
1,1.8009587287902833,15.937499999999998,0.3536059856414795,10.0
2,1.7762301921844483,18.75,0.3536059856414795,10.0
3,1.7673774719238282,16.875,0.3536059856414795,10.0
4,1.707470703125,24.375,1.3563745021820068,10.0
5,1.7218797206878662,20.9375,1.3563745021820068,10.0
6,1.6962470531463623,23.125,6.3959736824035645,10.0
7,1.688344383239746,22.5,6.3959736824035645,10.0
8,1.652443814277649,25.624999999999996,6.3959736824035645,10.0
9,1.6623189449310303,27.187499999999996,6.3959736824035645,10.0
10,1.6372053623199463,27.8125,6.3959736824035645,10.0
11,1.6518032550811768,27.187499999999996,6.3959736824035645,10.0
12,1.5646124839782716,29.6875,6.3959736824035645,10.0
13,1.5148598670959472,25.3125,6.3959736824035645,10.0
14,1.527115488052368,26.875,6.3959736824035645,10.0
15,1.4572107553482057,34.0625,1.3563745021820068,10.0
16,1.4220124721527099,35.9375,6.3959736824035645,10.0
17,1.3983699560165406,36.25,-0.3542919158935547,11.25
18,1.344086241722107,40.9375,-0.4942229390144348,10.0
19,1.37579402923584,32.5,-0.8283407092094421,15.000000953674316
20,1.3834715843200684,34.6875,-0.4942229390144348,10.0
21,1.4119459390640259,34.375,-0.4942229390144348,10.0
22,1.3706093072891234,35.3125,-0.5256372094154358,10.0
23,1.3908785820007323,39.6875,2.5836641788482666,10.0
24,1.3125846147537232,37.8125,2.5836641788482666,10.0
25,1.3023847579956054,41.875,-0.4942229390144348,10.0
26,1.3030829906463623,40.3125,-0.4242709279060364,10.0
27,1.3332903146743775,39.375,-0.4942229390144348,10.0
28,1.2460150003433228,45.9375,-0.4942229390144348,10.0
29,1.2466504573822021,47.1875,-0.4942229390144348,10.0
30,1.2747090816497804,43.75,-0.4942229390144348,10.0
31,1.234603762626648,43.125,-0.4942229390144348,10.0
32,1.2353604555130004,46.25,-0.4942229390144348,10.0
33,1.259686279296875,47.1875,-0.4942229390144348,10.0
34,1.2292540550231934,44.0625,2.6304125785827637,11.25
35,1.2317173480987549,46.5625,-0.4942229390144348,10.0
36,1.2391250133514404,43.125,-0.4942229390144348,10.0
37,1.2070183277130127,50.31250000000001,-0.4942229390144348,10.0
38,1.2194518089294433,44.6875,-0.4942229390144348,10.0
39,1.217370295524597,44.0625,-0.4942229390144348,10.0
40,1.1925059795379638,46.25,-0.4942229390144348,10.0
41,1.217668390274048,46.5625,2.5836641788482666,10.0
42,1.166708278656006,53.75,2.5836641788482666,10.0
43,1.189849042892456,51.24999999999999,-0.4942229390144348,10.0
44,1.1443825960159302,54.6875,-0.46624213457107544,11.25
45,1.1494865417480469,48.75,-0.4521639049053192,10.0
46,1.2612473011016845,46.5625,0.9550626873970032,21.25
47,1.2593625783920288,44.6875,1.9523499011993408,12.5
48,1.1927567005157471,50.31250000000001,-0.4942229390144348,10.0
49,1.161427116394043,53.43750000000001,-0.4942229390144348,10.0
50,1.1303361415863038,50.0,-0.4942229390144348,10.0
51,1.2272119760513305,48.4375,4.1659159660339355,10.0
52,1.13390953540802,51.5625,3.9730541706085205,11.25
53,1.2213547706604004,47.1875,-0.5655578970909119,11.25
54,1.1713053703308105,50.9375,-0.6076552271842957,22.5
55,1.155484175682068,53.125,-0.4942229390144348,10.0
56,1.1548664331436158,51.87500000000001,-0.4942229390144348,10.0
57,1.1120174169540404,53.75,-0.4942229390144348,10.0
58,1.1566251754760741,53.75,-0.4942229390144348,10.0
59,1.1558132886886596,52.1875,-0.4942229390144348,10.0
60,1.0893694162368774,57.1875,-0.4942229390144348,10.0
61,1.1975409984588623,52.5,-0.4942229390144348,10.0
62,1.1446201086044312,50.625,-0.33692386746406555,16.25
63,1.1969769716262817,47.5,-0.4942229390144348,10.0
64,1.112361764907837,53.125,-0.4942229390144348,10.0
65,1.133323335647583,58.12500000000001,-0.4942229390144348,10.0
66,1.1277616500854493,52.5,-0.4101048409938812,10.0
67,1.1150825023651123,52.5,-0.4942229390144348,10.0
68,1.1496541500091553,50.9375,-0.4942229390144348,10.0
69,1.2114093065261842,46.25,-0.46624213457107544,11.25
70,1.123853325843811,53.75,-0.4942229390144348,10.0
71,1.1601577281951905,53.125,-0.4942229390144348,10.0
72,1.1155344486236571,50.31250000000001,-0.4942229390144348,10.0
73,1.082107138633728,54.6875,-0.4942229390144348,10.0
74,1.1576892852783203,46.25,-0.4942229390144348,10.0
75,1.1743820428848266,49.0625,-0.38831067085266113,10.0
76,1.025719118118286,59.375,-0.4942229390144348,10.0
77,1.081300473213196,50.625,-0.4942229390144348,10.0
78,1.0706791400909423,56.25,-0.4942229390144348,10.0
79,1.0459728837013245,57.8125,-0.4942229390144348,10.0
80,1.0824373245239258,56.56250000000001,-0.4942229390144348,10.0
81,1.064139449596405,57.8125,-0.4942229390144348,10.0
82,1.0743629932403564,55.00000000000001,-0.4942229390144348,10.0
83,1.0550855636596679,53.43750000000001,-0.4942229390144348,10.0
84,1.0682015657424926,52.5,-0.4942229390144348,10.0
85,1.0455084085464477,57.8125,0.653988778591156,16.25
86,1.038066601753235,56.56250000000001,-0.12830927968025208,16.25
87,1.0632418870925904,58.12500000000001,-0.04985763505101204,17.5
88,1.030484688282013,59.68750000000001,-0.4942229390144348,10.0
89,1.0596237421035766,54.37499999999999,-0.4942229390144348,10.0
90,1.0742560625076294,52.81249999999999,-0.4942229390144348,10.0
91,1.0606596231460572,55.625,-0.4942229390144348,10.0
92,1.007130765914917,58.12500000000001,-0.4942229390144348,10.0
93,1.0334768295288086,57.8125,-0.4942229390144348,10.0
94,1.0418753266334533,55.625,-0.4942229390144348,10.0
95,1.048804807662964,58.12500000000001,-0.4942229390144348,10.0
96,1.0355486273765564,59.06249999999999,-0.4942229390144348,10.0
97,0.9975939750671386,59.06249999999999,-0.05680890008807182,12.5
98,1.050673770904541,60.0,-0.47319337725639343,11.25
99,1.0157593369483948,58.75,-0.4942229390144348,10.0
100,1.021317732334137,60.62499999999999,-0.4942229390144348,10.0
101,1.0632238626480102,54.6875,-0.4942229390144348,10.0
102,1.0212224960327148,62.5,-0.4942229390144348,10.0
103,1.032293176651001,62.18749999999999,0.7002536654472351,11.25
104,1.0900856137275696,55.93749999999999,1.304388403892517,10.0
105,1.024017882347107,58.4375,-0.10093281418085098,11.25
106,0.9822452545166016,57.49999999999999,-0.41010481119155884,10.0
107,1.000506865978241,58.4375,-0.4185166358947754,10.0
108,1.0043792486190797,57.8125,0.34257620573043823,22.5
109,0.9295067310333252,64.0625,1.3128550052642822,12.5
110,1.0110241532325746,55.93749999999999,-0.4942229390144348,10.0
111,1.0075685143470765,59.06249999999999,-0.36530041694641113,11.25
