epochs,tr_loss,tr_acc,val_loss,val_acc
0,3.4992591285705568,2.625,-3.8209002017974854,1.5
1,3.4824640560150146,2.8125,5.393708229064941,2.0
2,3.4387001609802246,3.0,9.75613021850586,1.0
3,3.437935266494751,2.875,10.159110069274902,0.75
4,3.4171817111968994,3.75,6.854727745056152,0.5
5,3.429958868026733,2.375,8.279682159423828,1.0
6,3.4181259632110597,3.125,4.304079055786133,1.0
7,3.40361741065979,3.375,4.056486129760742,1.0
8,3.378017530441284,3.6249999999999996,5.04768705368042,1.2499998807907104
9,3.3817810821533203,3.875,5.894737243652344,1.2499998807907104
10,3.3619738674163817,4.3125,5.056982517242432,3.5
11,3.3256359195709226,5.75,2.5339479446411133,4.75
12,3.2727184391021726,6.25,0.2420659363269806,3.0
13,3.24837287902832,7.3125,1.2677638530731201,1.2499998807907104
14,3.2052048301696776,8.5625,1.6156421899795532,4.0
15,3.1788846588134767,7.75,0.037244558334350586,3.5
16,3.148583755493164,8.25,2.792328357696533,2.499999761581421
17,3.1174650096893313,9.4375,7.999128341674805,2.0
18,3.118381881713867,9.3125,1.040019154548645,4.0
19,3.068035669326782,11.0,10.139965057373047,3.0
20,3.063624172210693,11.4375,2.874105215072632,3.0
21,3.032453947067261,12.0,1.6506481170654297,5.25
22,3.007001266479492,12.3125,7.912022113800049,2.499999761581421
23,2.9819828033447267,11.8125,1.335133671760559,3.5
24,2.9854698371887207,12.625,5.7987871170043945,3.0
25,2.933548917770386,14.625,-0.7013598680496216,2.499999761581421
26,2.92856990814209,13.1875,5.746304035186768,2.75
27,2.8822764587402343,15.75,3.638064384460449,4.5
28,2.8571818542480467,17.6875,0.9629727602005005,3.749999761581421
29,2.853472881317139,16.5625,1.3001731634140015,4.5
30,2.8322643756866457,16.125,0.4173903465270996,3.749999761581421
31,2.823874454498291,18.4375,5.935549259185791,3.5
32,2.8315340995788576,16.25,8.936202049255371,3.749999761581421
33,2.8048190116882323,17.5,3.96417236328125,4.75
34,2.7686331844329835,19.25,2.110153913497925,2.75
35,2.725079336166382,19.625,1.8697365522384644,3.5
36,2.7127474689483644,21.25,2.4934489727020264,5.5
37,2.7388058853149415,18.625,6.522160530090332,2.25
38,2.717179479598999,20.25,2.9593069553375244,4.0
39,2.6418192195892334,23.0,1.7174569368362427,2.0
40,2.6798694038391115,21.3125,5.36561393737793,4.25
41,2.670318269729614,21.5,2.177318572998047,3.0
42,2.6502190685272216,22.0,5.333868503570557,4.0
43,2.6365136814117434,22.4375,3.3606011867523193,4.0
44,2.6260465240478514,24.625,2.676992416381836,5.25
45,2.6286469078063965,22.75,2.257138252258301,5.749999523162842
46,2.599744348526001,23.875,2.89257550239563,2.499999761581421
47,2.5851367568969725,25.624999999999996,5.586496353149414,2.25
48,2.5505150890350343,26.125,6.7868170738220215,4.75
49,2.554875020980835,26.0625,4.366980075836182,4.25
50,2.544403762817383,24.75,2.77203369140625,3.25
51,2.5347344493865966,25.75,5.783087253570557,4.25
52,2.5510514831542968,25.5625,4.278666019439697,2.25
53,2.505143795013428,27.500000000000004,9.251896858215332,3.25
54,2.5203530597686767,28.249999999999996,4.052206039428711,1.75
55,2.5030930423736573,29.562500000000004,2.979262351989746,4.0
56,2.4734543132781983,28.812500000000004,6.311263084411621,3.0
57,2.5056995487213136,27.3125,4.3024139404296875,5.25
58,2.475265312194824,29.312500000000004,5.794290542602539,3.749999761581421
59,2.484487924575806,27.125,5.977321147918701,3.749999761581421
60,2.4828549003601075,29.25,1.5220893621444702,4.75
61,2.450021915435791,29.312500000000004,3.563586711883545,4.0
62,2.4693784046173097,28.6875,3.443359851837158,4.25
63,2.411117124557495,30.25,3.8778064250946045,6.5
64,2.4690931606292725,29.9375,3.300584077835083,5.5
65,2.447991943359375,28.3125,7.124835014343262,3.5
66,2.4287397861480713,29.6875,4.488497734069824,4.999999523162842
67,2.420783882141113,30.1875,5.589269161224365,4.25
68,2.4018608570098876,31.4375,3.4655821323394775,4.25
69,2.4212693691253664,30.25,5.009327411651611,4.0
70,2.383934726715088,30.312499999999996,6.081656455993652,4.0
